area,kpi_name,kpi_value,kpi_unit,time_period,kpi_category
CustSvc,Annual_Operating_Cost,18500000,BRL,annual,financial
CustSvc,FTE_Count,185,FTE,current,workforce
CustSvc,Cost_Per_FTE,100000,BRL,annual,financial
CustSvc,Avg_Handle_Time,8.5,minutes,monthly_avg,operational
CustSvc,First_Contact_Resolution,62,pct,monthly_avg,quality
CustSvc,CSAT_Score,7.2,NPS,monthly_avg,quality
CustSvc,Monthly_Ticket_Volume,42000,tickets,monthly_avg,volume
CustSvc,Current_Automation_Rate,12,pct,current,technology
CustSvc,Annual_Turnover_Rate,28,pct,annual,workforce
BackOffice,Annual_Operating_Cost,12200000,BRL,annual,financial
BackOffice,FTE_Count,95,FTE,current,workforce
BackOffice,Cost_Per_FTE,128421,BRL,annual,financial
BackOffice,Manual_Processing_Rate,78,pct,current,operational
BackOffice,Monthly_Error_Rate,4.2,pct,monthly_avg,quality
BackOffice,Avg_Processing_Time,22,minutes,per_transaction,operational
BackOffice,Monthly_Transaction_Vol,85000,transactions,monthly_avg,volume
BackOffice,SLA_Compliance,88,pct,monthly_avg,quality
Compliance,Annual_Operating_Cost,8900000,BRL,annual,financial
Compliance,FTE_Count,62,FTE,current,workforce
Compliance,Cost_Per_FTE,143548,BRL,annual,financial
Compliance,Manual_Review_Rate,92,pct,current,operational
Compliance,False_Positive_Rate,35,pct,monthly_avg,quality
Compliance,Regulatory_Penalties,2400000,BRL,annual,risk
Compliance,Open_Audit_Findings,47,findings,current,risk
TechOps,Annual_Cloud_Spend,4200000,BRL,annual,technology
TechOps,Legacy_Maintenance_Cost,3100000,BRL,annual,technology
TechOps,Tech_FTE_Count,45,FTE,current,workforce
TechOps,Monthly_Downtime_Hours,14,hours,monthly_avg,operational
TechOps,Tech_Debt_Ratio,65,pct,current,technology
Total,Annual_Revenue,320000000,BRL,annual,financial
Total,Total_FTE,387,FTE,current,workforce
Total,Total_Operating_Cost,39600000,BRL,annual,financial
Total,Operating_Margin,12.4,pct,annual,financial
Total,Active_Clients,180000,clients,current,volume
Total,Annual_Client_Churn,8.5,pct,annual,quality
Total,Digital_Channel_Adoption,34,pct,current,technology
